	Dataset	Level	SampleID	Reference	Method	Parameters	Precision	Recall	F-measure	Taxon Accuracy Rate	Taxon Detection Rate
86	fuhrman_18Sv4	5	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.75:0.8	0.09871944413089012	0.09871944413089012	0.09871944413089011	0.2727272727272727	0.3333333333333333
87	fuhrman_18Sv4	5	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.75:0.8	0.1141360040443236	0.1141360040443236	0.1141360040443236	0.35714285714285715	0.45454545454545453
88	fuhrman_18Sv4	6	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.75:0.8	0.032484228217380944	0.032484228217380944	0.032484228217380944	0.09090909090909091	0.1111111111111111
89	fuhrman_18Sv4	6	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.75:0.8	0.08937135361871319	0.08937135361871319	0.08937135361871319	0.1875	0.25
90	fuhrman_18Sv4	2	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.51:0.8	1.0	1.0	1.0	1.0	1.0
91	fuhrman_18Sv4	2	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.51:0.8	1.0	1.0	1.0	1.0	1.0
92	fuhrman_18Sv4	3	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.51:0.8	0.5967315097013709	0.5967315097013709	0.5967315097013709	0.8571428571428571	0.8571428571428571
93	fuhrman_18Sv4	3	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.51:0.8	0.5011272185710968	0.5011272185710968	0.5011272185710968	0.8571428571428571	0.8571428571428571
94	fuhrman_18Sv4	4	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.51:0.8	0.5343996989085434	0.5342589457049328	0.5343293130374245	0.6666666666666666	0.75
95	fuhrman_18Sv4	4	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.51:0.8	0.4741211642211608	0.47129350038940276	0.47270310364084234	0.7	0.7777777777777778
96	fuhrman_18Sv4	5	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.51:0.8	0.09874545226445866	0.09871944413089012	0.09873244648490664	0.2727272727272727	0.3333333333333333
