	Dataset	Level	SampleID	Reference	Method	Parameters	Precision	Recall	F-measure	Taxon Accuracy Rate	Taxon Detection Rate
66	fuhrman_18Sv4	5	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.75:0.8	0.1414502571822858	0.14141300121659078	0.14143162674594362	0.2727272727272727	0.3333333333333333
67	fuhrman_18Sv4	5	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.75:0.8	0.16380193120511322	0.16282501468799956	0.16331201200481013	0.35714285714285715	0.45454545454545453
68	fuhrman_18Sv4	6	MP_ERR3712072	pr2-ssu	blast+	0.001:10:0.75:0.8	0.07519759126834775	0.07517778530308161	0.07518768698139124	0.09090909090909091	0.1111111111111111
69	fuhrman_18Sv4	6	MP_ERR3712077	pr2-ssu	blast+	0.001:10:0.75:0.8	0.1388886979828872	0.13806036426238916	0.1384732923808512	0.1875	0.25
70	fuhrman_18Sv4	2	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.51:0.8	1.0	1.0	1.0	1.0	1.0
71	fuhrman_18Sv4	2	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.51:0.8	1.0	1.0	1.0	1.0	1.0
72	fuhrman_18Sv4	3	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.51:0.8	0.5967315097013709	0.5967315097013709	0.5967315097013709	0.8571428571428571	0.8571428571428571
73	fuhrman_18Sv4	3	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.51:0.8	0.5011272185710968	0.5011272185710968	0.5011272185710968	0.8571428571428571	0.8571428571428571
74	fuhrman_18Sv4	4	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.51:0.8	0.5342589457049328	0.5342589457049328	0.5342589457049328	0.6666666666666666	0.75
75	fuhrman_18Sv4	4	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.51:0.8	0.47129350038940276	0.47129350038940276	0.47129350038940276	0.7	0.7777777777777778
76	fuhrman_18Sv4	5	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.51:0.8	0.09871944413089012	0.09871944413089012	0.09871944413089011	0.2727272727272727	0.3333333333333333
77	fuhrman_18Sv4	5	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.51:0.8	0.1141360040443236	0.1141360040443236	0.1141360040443236	0.35714285714285715	0.45454545454545453
78	fuhrman_18Sv4	6	MP_ERR3712072	pr2-ssu	blast+	0.001:1:0.51:0.8	0.032484228217380944	0.032484228217380944	0.032484228217380944	0.09090909090909091	0.1111111111111111
79	fuhrman_18Sv4	6	MP_ERR3712077	pr2-ssu	blast+	0.001:1:0.51:0.8	0.08937135361871319	0.08937135361871319	0.08937135361871319	0.1875	0.25
80	fuhrman_18Sv4	2	MP_ERR3712072	rcrux-18sv4	blast+	0.001:10:0.51:0.97	0.0	0.0	0.0	0.3333333333333333	0.2857142857142857
81	fuhrman_18Sv4	2	MP_ERR3712077	rcrux-18sv4	blast+	0.001:10:0.51:0.97	0.0	0.0	0.0	0.375	0.375
82	fuhrman_18Sv4	3	MP_ERR3712072	rcrux-18sv4	blast+	0.001:10:0.51:0.97	0.0	0.0	0.0	0.14285714285714285	0.1111111111111111
